Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
103	33708.69	0.0	33708.69	33708.69	24.0	1707.731	17962.492	7348.461	30466.727	2475.1077	2496	1181.004	6576157.5	-290.4887	-6162345.5	-1.1648389	15.1400175	0.7083333	1.0	11041.958429813385
104	34340.473	0.0	34340.473	34340.473	24.0	1684.3148	14077.015	7441.916	28149.479	436.05414	2520	-1849.2389	7939928.0	181.31055	-6813335.0	-1.1648129	1.9431864	0.75	1.0	11051.092834949493
105	36329.746	0.0	36329.746	36329.746	24.0	1727.524	16721.693	8464.647	33499.92	2942.274	2544	-612.7192	3444997.0	227.67538	-2135807.0	-1.1647496	0.27040777	0.5	1.0	11060.22911977768
106	34430.6	0.0	34430.6	34430.6	24.0	1675.3204	18613.533	9122.879	34777.4	705.0148	2568	1658.4565	6946763.5	-137.61511	-5934704.5	-1.1646847	12.089317	0.7083333	1.0	11069.396478891373
107	37722.0	0.0	37722.0	37722.0	24.0	1762.001	17010.436	7775.991	28793.89	519.6251	2592	-1179.625	14320381.0	-158.9779	-10824660.0	-1.1646162	0.34230018	0.6666667	1.0	11078.612043857574
108	35099.434	0.0	35099.434	35099.434	24.0	1701.1637	18235.133	10068.418	37089.86	1385.1624	2616	1231.5956	6105674.0	-199.96191	-5353391.0	-1.1644092	0.14272417	0.75	1.0	11087.772009849548
109	33725.758	0.0	33725.758	33725.758	24.0	1705.8887	15865.761	8622.021	30386.771	597.8294	2640	-140.33049	2698009.0	185.99573	-1966501.2	-1.1642216	18.62936	0.7916667	1.0	11096.989273786545
110	36351.555	0.0	36351.555	36351.555	24.0	1729.0723	17595.846	9023.152	37307.777	1802.4196	2664	39.194637	5115532.5	245.87985	-3489086.0	-1.1640344	0.10257877	0.5416667	1.0	11106.156925916672
111	39255.082	0.0	39255.082	39255.082	24.0	1885.8839	13649.664	9028.722	31082.303	959.6835	2688	-4091.9377	33057362.0	-747.7649	-30018146.0	-1.1637554	-0.55392265	0.875	79.0	11116.149662971497
112	36183.35	0.0	36183.35	36183.35	24.0	1703.043	23960.648	8425.449	37710.887	6389.754	2712	4716.805	52729216.0	-358.41895	-50003388.0	-1.2124444	0.45100316	0.5416667	1.0	11126.023269891739
113	39304.19	0.0	39304.19	39304.19	24.0	1892.1431	11798.208	10243.171	31321.227	651.27423	2736	-5325.3423	61570540.0	-1030.0991	-58462948.0	-1.2126206	-0.39904746	0.875	79.0	11138.332603693008
